,host_count,avg_token_length,token_count,largest_token,url_length,ip_address,dots_count,critical_words,host_rank,host_country
122,14,9.0,3,21,62,0,3,0,-1,-1
123,5,8.0,3,18,34,0,2,0,-1,-1
124,53,4.67,3,8,27,0,2,0,-1,-1
125,4,3.0,3,5,32,0,2,0,53625,18494
126,4,3.0,3,5,32,0,2,0,53625,18494
127,83,6.0,2,9,23,0,1,0,6109,1342
128,3,10.0,3,16,68,0,3,0,26388,9470
129,197,6.33,3,11,67,0,2,0,326,217
130,2,4.25,4,7,46,0,2,1,-1,-1
131,2,4.25,4,7,37,0,2,2,-1,-1
132,18,5.67,3,11,33,0,2,0,-1,-1
133,18,5.67,3,11,33,0,2,0,-1,-1
134,2,5.0,3,8,34,0,3,0,-1,-1
135,8,4.33,3,7,34,0,3,0,-1,-1
136,8,4.33,3,7,32,0,2,0,-1,-1
137,1,6.25,4,14,36,0,2,0,-1,-1
138,53,4.67,3,8,27,0,2,0,-1,-1
139,83,6.0,2,9,23,0,1,0,6109,1342
140,197,6.33,3,11,67,0,2,0,326,217
141,11,6.33,3,13,28,0,2,0,-1,-1
142,53,4.67,3,8,27,0,2,0,-1,-1
143,83,6.0,2,9,23,0,1,0,6109,1342
144,197,6.33,3,11,67,0,2,0,326,217
145,1,5.67,3,8,27,0,2,0,318894,230826
146,44,3.5,2,4,37,0,1,0,-1,-1
147,11,6.33,3,13,28,0,2,0,-1,-1
148,83,6.0,2,9,23,0,1,0,6109,1342
149,197,6.33,3,11,57,0,2,0,326,217
150,47,3.33,3,5,41,0,2,0,-1,-1
151,2,6.67,3,14,38,0,2,0,-1,-1
152,2,6.67,3,14,50,0,3,0,-1,-1
153,10,6.0,2,9,21,0,1,0,-1,-1
154,10,6.0,2,9,47,0,1,0,-1,-1
155,28,5.67,3,11,33,0,2,0,-1,-1
156,5,2.5,4,3,35,1,4,0,-1,-1
157,5,2.5,4,3,44,1,4,0,-1,-1
158,2,3.75,4,6,36,0,2,0,-1,-1
159,2,3.75,4,6,47,0,2,0,-1,-1
160,9,2.5,4,3,41,1,4,0,-1,-1
161,2,4.67,3,8,33,0,2,0,41695,25352
162,32,4.0,3,6,30,0,2,0,-1,-1
163,2,4.5,2,6,19,0,2,0,-1,-1
164,3,4.0,3,6,21,0,2,0,-1,-1
165,197,6.33,3,11,67,0,2,0,326,217
166,18,5.67,3,11,33,0,2,0,-1,-1
167,18,5.67,3,11,33,0,2,0,-1,-1
168,83,6.0,2,9,23,0,1,0,6109,1342
169,197,6.33,3,11,67,0,2,0,326,217
170,7,5.0,3,9,86,0,4,0,-1,-1
171,9,2.75,4,3,21,0,2,0,-1,-1
172,9,2.75,4,3,40,0,3,0,-1,-1
173,9,2.75,4,3,34,0,3,0,-1,-1
174,83,6.0,2,9,23,0,1,0,6109,1342
175,197,6.33,3,11,57,0,2,0,326,217
176,2,5.67,3,11,26,0,2,0,-1,-1
177,4,5.67,3,11,26,0,2,0,-1,-1
178,4,5.67,3,11,90,0,5,0,-1,-1
179,11,6.33,3,13,28,0,2,0,-1,-1
180,1,3.75,4,5,53,0,4,0,23370,12896
181,2,5.0,3,8,24,0,2,0,11405,948
182,1,7.67,3,17,44,0,3,0,-1,-1
183,44,3.5,2,4,37,0,1,0,-1,-1
184,3,6.0,3,12,33,0,2,0,-1,-1
185,28,5.67,3,11,33,0,2,0,-1,-1
186,28,5.67,3,11,33,0,2,0,-1,-1
187,83,6.0,2,9,23,0,1,0,6109,1342
188,197,6.33,3,11,67,0,2,0,326,217
189,1,4.67,3,8,37,0,3,0,-1,-1
